rssid,url,error_message
519,https://www.alarabiya.net/aswaq/economy/2025/08/28/%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A-%D8%A7%D9%84%D9%8A%D8%A7%D8%A8%D8%A7%D9%86%D9%8A-%D8%AD%D8%A7%D9%84%D8%A9-%D8%B9%D8%AF%D9%85-%D8%A7%D9%84%D9%8A%D9%82%D9%8A%D9%86-%D9%85%D8%A7-%D8%B2%D8%A7%D9%84%D8%AA-%D9%85%D8%B1%D8%AA%D9%81%D8%B9%D8%A9-%D8%A8%D8%B4%D8%A7%D9%86-%D8%B3%D9%8A%D8%A7%D8%B3%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D8%B3%D9%88%D9%85-%D8%A7%D9%84%D8%A7%D9%85%D9%8A%D8%B1%D9%83%D9%8A%D8%A9,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.alarabiya.net/aswaq/economy/2025/08/28/%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A-%D8%A7%D9%84%D9%8A%D8%A7%D8%A8%D8%A7%D9%86%D9%8A-%D8%AD%D8%A7%D9%84%D8%A9-%D8%B9%D8%AF%D9%85-%D8%A7%D9%84%D9%8A%D9%82%D9%8A%D9%86-%D9%85%D8%A7-%D8%B2%D8%A7%D9%84%D8%AA-%D9%85%D8%B1%D8%AA%D9%81%D8%B9%D8%A9-%D8%A8%D8%B4%D8%A7%D9%86-%D8%B3%D9%8A%D8%A7%D8%B3%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D8%B3%D9%88%D9%85-%D8%A7%D9%84%D8%A7%D9%85%D9%8A%D8%B1%D9%83%D9%8A%D8%A9 on URL https://www.alarabiya.net/aswaq/economy/2025/08/28/%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A-%D8%A7%D9%84%D9%8A%D8%A7%D8%A8%D8%A7%D9%86%D9%8A-%D8%AD%D8%A7%D9%84%D8%A9-%D8%B9%D8%AF%D9%85-%D8%A7%D9%84%D9%8A%D9%82%D9%8A%D9%86-%D9%85%D8%A7-%D8%B2%D8%A7%D9%84%D8%AA-%D9%85%D8%B1%D8%AA%D9%81%D8%B9%D8%A9-%D8%A8%D8%B4%D8%A7%D9%86-%D8%B3%D9%8A%D8%A7%D8%B3%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D8%B3%D9%88%D9%85-%D8%A7%D9%84%D8%A7%D9%85%D9%8A%D8%B1%D9%83%D9%8A%D8%A9
11507,https://www.onearabia.me/business/uae-firm-joins-global-solar-partnership-egypt-220m-investment-011-120531.html?28082025175034,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.onearabia.me/business/uae-firm-joins-global-solar-partnership-egypt-220m-investment-011-120531.html?28082025175034 on URL https://www.onearabia.me/business/uae-firm-joins-global-solar-partnership-egypt-220m-investment-011-120531.html?28082025175034
9457,https://cnnbusinessarabic.com/tags/%D8%A5%D9%85-%D8%A8%D9%8A-%D9%85%D8%A7%D8%AA%D8%B1%D9%8A%D8%A7%D9%84%D8%B2,Article `download()` failed with 403 Client Error: Forbidden for url: https://cnnbusinessarabic.com/tags/%D8%A5%D9%85-%D8%A8%D9%8A-%D9%85%D8%A7%D8%AA%D8%B1%D9%8A%D8%A7%D9%84%D8%B2 on URL https://cnnbusinessarabic.com/tags/%D8%A5%D9%85-%D8%A8%D9%8A-%D9%85%D8%A7%D8%AA%D8%B1%D9%8A%D8%A7%D9%84%D8%B2
17,https://www.alwafd.news/5672008,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.alwafd.news/5672008 on URL https://www.alwafd.news/5672008
9492,https://almsaey.akhbarelyom.com/news/newdetails/3509762/1/%D9%85%D8%AF%D8%B1%D8%A8-%D8%A7%D9%84%D8%A5%D8%B3%D9%85%D8%A7%D8%B9%D9%8A%D9%84%D9%8A-%D8%B3%D9%86%D8%A8%D8%B0%D9%84-%D8%A3%D9%82%D8%B5%D9%89-%D9%85%D8%A7-%D9%84%D8%AF%D9%8A%D9%86%D8%A7-%D9%84%D8%A5%D8%B3%D8%B9,Article `download()` failed with 403 Client Error: Forbidden for url: https://almsaey.akhbarelyom.com/news/newdetails/3509762/1/%D9%85%D8%AF%D8%B1%D8%A8-%D8%A7%D9%84%D8%A5%D8%B3%D9%85%D8%A7%D8%B9%D9%8A%D9%84%D9%8A-%D8%B3%D9%86%D8%A8%D8%B0%D9%84-%D8%A3%D9%82%D8%B5%D9%89-%D9%85%D8%A7-%D9%84%D8%AF%D9%8A%D9%86%D8%A7-%D9%84%D8%A5%D8%B3%D8%B9 on URL https://almsaey.akhbarelyom.com/news/newdetails/3509762/1/%D9%85%D8%AF%D8%B1%D8%A8-%D8%A7%D9%84%D8%A5%D8%B3%D9%85%D8%A7%D8%B9%D9%8A%D9%84%D9%8A-%D8%B3%D9%86%D8%A8%D8%B0%D9%84-%D8%A3%D9%82%D8%B5%D9%89-%D9%85%D8%A7-%D9%84%D8%AF%D9%8A%D9%86%D8%A7-%D9%84%D8%A5%D8%B3%D8%B9
3159,https://www.sawtbeirut.com/lebanon-news/%D9%85%D8%B0%D9%83%D8%B1%D8%A9-%D9%85%D9%86-%D9%88%D8%B2%D9%8A%D8%B1-%D8%A7%D9%84%D8%B9%D9%85%D9%84-%D8%A8%D8%B4%D8%A3%D9%86-%D8%A7%D8%B3%D8%AA%D9%82%D8%AF%D8%A7%D9%85-%D8%A7%D9%84%D8%B9%D8%A7%D9%85/,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.sawtbeirut.com/lebanon-news/%D9%85%D8%B0%D9%83%D8%B1%D8%A9-%D9%85%D9%86-%D9%88%D8%B2%D9%8A%D8%B1-%D8%A7%D9%84%D8%B9%D9%85%D9%84-%D8%A8%D8%B4%D8%A3%D9%86-%D8%A7%D8%B3%D8%AA%D9%82%D8%AF%D8%A7%D9%85-%D8%A7%D9%84%D8%B9%D8%A7%D9%85/ on URL https://www.sawtbeirut.com/lebanon-news/%D9%85%D8%B0%D9%83%D8%B1%D8%A9-%D9%85%D9%86-%D9%88%D8%B2%D9%8A%D8%B1-%D8%A7%D9%84%D8%B9%D9%85%D9%84-%D8%A8%D8%B4%D8%A3%D9%86-%D8%A7%D8%B3%D8%AA%D9%82%D8%AF%D8%A7%D9%85-%D8%A7%D9%84%D8%B9%D8%A7%D9%85/
7274,https://www.reuters.com/business/energy/russia-says-it-put-out-fire-large-oil-refinery-after-latest-ukrainian-drone-2025-08-28/,Article `download()` failed with 401 Client Error: HTTP Forbidden for url: https://www.reuters.com/business/energy/russia-says-it-put-out-fire-large-oil-refinery-after-latest-ukrainian-drone-2025-08-28/ on URL https://www.reuters.com/business/energy/russia-says-it-put-out-fire-large-oil-refinery-after-latest-ukrainian-drone-2025-08-28/
8998,https://www.alkhaleej.ae/2025-08-28/%D8%B3%D9%88%D9%82-%D8%AF%D8%A8%D9%8A-%D8%A7%D9%84%D9%85%D8%A7%D9%84%D9%8A-%D9%8A%D8%AD%D8%AF%D8%AF-%D8%B9%D8%B7%D9%84%D8%A9-%D8%A7%D9%84%D9%85%D9%88%D9%84%D8%AF-%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A-%D8%A7%D9%84%D8%B4%D8%B1%D9%8A%D9%81-6059226/%D8%A3%D8%B3%D9%88%D8%A7%D9%82-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA/%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.alkhaleej.ae/2025-08-28/%D8%B3%D9%88%D9%82-%D8%AF%D8%A8%D9%8A-%D8%A7%D9%84%D9%85%D8%A7%D9%84%D9%8A-%D9%8A%D8%AD%D8%AF%D8%AF-%D8%B9%D8%B7%D9%84%D8%A9-%D8%A7%D9%84%D9%85%D9%88%D9%84%D8%AF-%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A-%D8%A7%D9%84%D8%B4%D8%B1%D9%8A%D9%81-6059226/%D8%A3%D8%B3%D9%88%D8%A7%D9%82-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA/%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF on URL https://www.alkhaleej.ae/2025-08-28/%D8%B3%D9%88%D9%82-%D8%AF%D8%A8%D9%8A-%D8%A7%D9%84%D9%85%D8%A7%D9%84%D9%8A-%D9%8A%D8%AD%D8%AF%D8%AF-%D8%B9%D8%B7%D9%84%D8%A9-%D8%A7%D9%84%D9%85%D9%88%D9%84%D8%AF-%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A-%D8%A7%D9%84%D8%B4%D8%B1%D9%8A%D9%81-6059226/%D8%A3%D8%B3%D9%88%D8%A7%D9%82-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA/%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF
9514,https://almsaey.akhbarelyom.com/news/newdetails/3509879/1/%D9%81%D9%8A%D8%B1%D9%8A%D8%B1%D8%A7-%D8%AA%D9%88%D9%82%D8%B9%D8%AA-%D8%B7%D8%B1%D9%8A%D9%82%D8%A9-%D9%84%D8%B9%D8%A8-%D9%81%D8%A7%D8%B1%D9%83%D9%88-%D9%88%D9%86%D8%B3%D8%AA%D8%AD%D9%82-%D8%A7%D9%84%D9%81%D9%88,Article `download()` failed with 403 Client Error: Forbidden for url: https://almsaey.akhbarelyom.com/news/newdetails/3509879/1/%D9%81%D9%8A%D8%B1%D9%8A%D8%B1%D8%A7-%D8%AA%D9%88%D9%82%D8%B9%D8%AA-%D8%B7%D8%B1%D9%8A%D9%82%D8%A9-%D9%84%D8%B9%D8%A8-%D9%81%D8%A7%D8%B1%D9%83%D9%88-%D9%88%D9%86%D8%B3%D8%AA%D8%AD%D9%82-%D8%A7%D9%84%D9%81%D9%88 on URL https://almsaey.akhbarelyom.com/news/newdetails/3509879/1/%D9%81%D9%8A%D8%B1%D9%8A%D8%B1%D8%A7-%D8%AA%D9%88%D9%82%D8%B9%D8%AA-%D8%B7%D8%B1%D9%8A%D9%82%D8%A9-%D9%84%D8%B9%D8%A8-%D9%81%D8%A7%D8%B1%D9%83%D9%88-%D9%88%D9%86%D8%B3%D8%AA%D8%AD%D9%82-%D8%A7%D9%84%D9%81%D9%88
2974,https://www.al-madina.com/article/948910/%D9%85%D8%AD%D9%84%D9%8A%D8%A7%D8%AA/%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D9%81%D8%B1%D8%B6%D9%8A%D8%A9-%D8%A7%D9%86%D9%87%D9%8A%D8%A7%D8%B1-%D8%AC%D8%B3%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D8%A3%D8%AD%D8%B3%D8%A7%D8%A1-%D9%84%D8%B1%D9%81%D8%B9-%D9%85%D8%B3%D8%AA%D9%88%D9%89-%D8%A7%D9%84%D8%AC%D8%A7%D9%87%D8%B2%D9%8A%D8%A9-%D9%84%D9%84%D8%B7%D9%88%D8%A7%D8%B1%D8%A6-%D9%88%D8%A7%D9%84%D8%A3%D8%B2%D9%85%D8%A7%D8%AA,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.al-madina.com/article/948910/%D9%85%D8%AD%D9%84%D9%8A%D8%A7%D8%AA/%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D9%81%D8%B1%D8%B6%D9%8A%D8%A9-%D8%A7%D9%86%D9%87%D9%8A%D8%A7%D8%B1-%D8%AC%D8%B3%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D8%A3%D8%AD%D8%B3%D8%A7%D8%A1-%D9%84%D8%B1%D9%81%D8%B9-%D9%85%D8%B3%D8%AA%D9%88%D9%89-%D8%A7%D9%84%D8%AC%D8%A7%D9%87%D8%B2%D9%8A%D8%A9-%D9%84%D9%84%D8%B7%D9%88%D8%A7%D8%B1%D8%A6-%D9%88%D8%A7%D9%84%D8%A3%D8%B2%D9%85%D8%A7%D8%AA on URL https://www.al-madina.com/article/948910/%D9%85%D8%AD%D9%84%D9%8A%D8%A7%D8%AA/%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D9%81%D8%B1%D8%B6%D9%8A%D8%A9-%D8%A7%D9%86%D9%87%D9%8A%D8%A7%D8%B1-%D8%AC%D8%B3%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D8%A3%D8%AD%D8%B3%D8%A7%D8%A1-%D9%84%D8%B1%D9%81%D8%B9-%D9%85%D8%B3%D8%AA%D9%88%D9%89-%D8%A7%D9%84%D8%AC%D8%A7%D9%87%D8%B2%D9%8A%D8%A9-%D9%84%D9%84%D8%B7%D9%88%D8%A7%D8%B1%D8%A6-%D9%88%D8%A7%D9%84%D8%A3%D8%B2%D9%85%D8%A7%D8%AA
