rssid,url,db_date,found_date
5714,https://www.tuniscope.com/ar/article/413832/arabe/actu-arabe/enfants-tunisie-2000000,2025-09-26 14:36:09,2025-09-29 04:39:39
6403,https://www.snabusiness.com/article/1823207-%D9%8A%D9%8F%D8%B9%D9%8A%D8%AF-%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-%D8%B5%D9%8A%D8%A7%D8%BA%D8%A9-%D9%82%D8%B7%D8%A7%D8%B9-%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%AC%D8%A7%D8%AA-%D8%A7%D9%84%D9%81%D8%A7%D8%AE%D8%B1%D8%A9%D8%9F,2025-09-29 03:00:54,2025-09-27 11:10:00
3958,https://nabdapp.com/t/161586821,2025-09-28 21:15:25,2025-09-29 00:17:46.452349
3596,https://www.seyyaha.com/%d9%82%d9%85%d8%a9-%d8%b2%d9%88%d8%a7%d8%b1-%d8%a7%d9%84%d8%b5%d9%8a%d9%86-%d9%81%d9%8a-%d8%a7%d9%84%d8%b9%d9%8a%d9%86-%d8%a7%d9%84%d8%a5%d9%85%d8%a7%d8%b1%d8%a7%d8%aa-%d8%aa%d8%aa%d8%ad%d8%af/,2025-09-29 01:15:52,2025-08-29 17:01:07
5244,https://muhtwaplus.com/82760/%d8%aa%d8%b4%d9%83%d9%8a%d9%84%d8%a9-%d8%a7%d9%84%d8%a3%d9%87%d9%84%d9%8a-%d8%a7%d9%84%d8%b1%d8%b3%d9%85%d9%8a%d8%a9-%d9%81%d9%8a-%d9%85%d9%88%d8%a7%d8%ac%d9%87%d8%a9-%d8%a7%d9%84%d8%b2%d9%85%d8%a7/,2025-09-28 21:23:12,2025-09-29 00:23:12
8959,https://www.aletihad.ae/news/الرياضي/4609291/برشلونة-يتصدر-الدوري-الإسباني-بـ-ثنائية--سوسيداد,2025-09-29 05:17:14,2025-09-28 18:46:02
7262,http://arabfinance.com/News/newdetails/29399,2025-09-29 09:12:00,2025-09-28 08:41:00
3158,https://alahednews.news/post/330395/%D8%AD%D8%AF%D9%8A%D8%AF-%D8%A7%D9%84%D8%AA%D8%AD%D9%8A%D8%A9-%D9%84%D8%B3%D9%8A%D8%AF-%D8%A7%D9%84%D9%85%D9%82%D8%A7%D9%88%D9%85%D8%A9-%D8%A7%D9%84%D8%B0%D9%8A-%D8%B3%D8%B7%D8%B1-%D9%81%D8%B5%D9%88%D9%84%D9%8B%D8%A7-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D9%82%D8%A7%D9%88%D9%85%D8%A9-%D8%AC%D9%85%D9%8A%D9%84%D8%A9%D9%8B-%D9%88%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9%D9%8B-%D9%88%D9%85%D9%86%D8%AA%D8%B5%D8%B1%D8%A9-%D9%88%D8%BA%D9%8A%D8%B1-%D9%85%D8%B3%D8%A8%D9%88%D9%82%D8%A9,2025-09-29 09:00:18,2025-09-20 00:00:00
6652,https://attaqa.net/2025/09/29/%D8%A7%D9%84%D8%AA%D9%86%D9%82%D9%8A%D8%A8-%D8%B9%D9%86-%D8%A7%D9%84%D9%86%D9%81%D8%B7-%D9%88%D8%A7%D9%84%D8%BA%D8%A7%D8%B2-%D9%81%D9%8A-%D9%85%D8%B5%D8%B1-%D9%85%D8%B2%D8%A7%D9%8A%D8%AF%D8%A7%D8%AA/,2025-09-28 23:00:18,2025-09-29 00:00:00
3560,https://www.alaan.sa/new/s/63940,2025-09-29 09:45:36,2025-09-28 00:00:00
